POS,Nombre,POS,GP,AB,R,H,AVG,2B,3B,HR,RBI,TB,BB,K,SB,OBP,SLG,OPS,WAR
1,Andy PagesLAD,CF,18,66,10,27,0.409,4,0,5,20,46,4,18,3,0.451,0.697,1.148,1.6
2,Chandler SimpsonTB,LF,17,63,9,24,0.381,0,2,0,4,28,3,4,7,0.409,0.444,0.854,0.9
3,Yandy DiazTB,1B,17,65,10,24,0.369,2,1,3,16,37,8,8,1,0.468,0.569,1.037,1.1
4,CJ AbramsWSH,SS,17,60,12,22,0.367,3,0,6,19,43,7,10,4,0.458,0.717,1.175,1.1
6,Luke RaleySEA,RF,17,59,8,20,0.339,4,1,4,12,38,3,23,0,0.391,0.644,1.035,0.7
7,Xavier EdwardsMIA,SS,19,71,14,24,0.338,3,2,1,6,34,8,9,2,0.405,0.479,0.884,0.6
8,Ryan O'HearnPIT,1B,17,63,9,21,0.333,3,0,3,13,33,10,12,1,0.413,0.524,0.937,0.5
8,Mauricio DubonATL,2B,18,66,11,22,0.333,6,0,2,12,34,4,11,0,0.371,0.515,0.887,0.9
8,Yordan AlvarezHOU,LF,19,63,15,21,0.333,6,0,7,17,48,17,9,1,0.488,0.762,1.25,1.2
8,Wilyer AbreuBOS,RF,17,66,9,22,0.333,4,1,3,10,37,5,15,0,0.38,0.561,0.941,1.4
8,Ben RiceNYY,1B,17,51,15,17,0.333,6,0,4,13,35,14,18,1,0.47,0.686,1.156,0.7
15,Otto LopezMIA,2B,18,67,12,22,0.328,4,1,2,8,34,5,13,3,0.387,0.507,0.894,1
15,Vladimir Guerrero Jr.TOR,1B,17,61,7,20,0.328,4,0,1,7,27,12,7,1,0.446,0.443,0.889,0.9
17,Nico HoernerCHC,2B,18,71,12,23,0.324,7,0,2,18,36,9,9,6,0.41,0.507,0.917,1.5
19,Drake BaldwinATL,C,19,78,19,25,0.321,3,0,5,19,43,6,15,0,0.384,0.551,0.935,0.8
20,Brandon NimmoTEX,LF,18,72,12,23,0.319,4,1,3,9,38,7,17,1,0.388,0.528,0.915,1
20,Jordan WalkerSTL,RF,18,69,15,22,0.319,3,0,8,15,49,6,21,2,0.373,0.71,1.083,1.6
22,Christian YelichMIL,LF,15,51,10,16,0.314,2,1,1,10,23,5,14,3,0.375,0.451,0.826,0.4
8,Luis ArraezSF,2B,18,67,7,21,0.313,1,2,0,6,26,5,4,2,0.351,0.388,0.739,0.5
23,Kevin McGonigleDET,SS,18,64,12,20,0.313,6,1,1,8,31,12,10,1,0.421,0.484,0.905,1.2
24,Corbin CarrollARI,RF,17,61,12,19,0.311,6,3,2,11,37,9,18,1,0.394,0.607,1.001,0.9
25,Teoscar HernandezLAD,RF,16,58,12,18,0.31,3,0,4,12,33,4,19,1,0.349,0.569,0.918,0.4
25,Colt KeithDET,2B,17,58,10,18,0.31,7,0,0,4,25,3,15,0,0.344,0.431,0.775,0.2
25,Oneil CruzPIT,CF,18,71,14,22,0.31,3,0,5,16,40,7,25,7,0.38,0.563,0.943,0.8
28,Liam HicksMIA,C,18,55,11,17,0.309,1,0,4,18,30,3,5,1,0.355,0.545,0.9,0.7
29,William ContrerasMIL,C,15,59,9,18,0.305,4,0,2,11,28,10,9,0,0.406,0.475,0.88,0.8
30,Shea LangeliersATH,C,17,69,11,21,0.304,3,0,6,12,42,5,23,0,0.351,0.609,0.96,1.2
30,Brice TurangMIL,2B,15,56,16,17,0.304,4,1,3,11,32,13,15,6,0.435,0.571,1.006,1
32,Christian WalkerHOU,1B,19,66,12,20,0.303,6,0,4,16,38,9,11,0,0.382,0.576,0.957,0.7
18,Sal StewartCIN,3B,19,66,13,20,0.303,4,0,7,17,45,13,15,3,0.413,0.682,1.094,1.2
33,Angel MartinezCLE,CF,17,53,8,16,0.302,4,0,2,9,26,3,7,4,0.362,0.491,0.853,0.4
34,Taylor WardBAL,LF,18,73,9,22,0.301,10,0,0,8,32,10,17,1,0.388,0.438,0.827,0.9
35,Ceddanne RafaelaBOS,CF,17,50,9,15,0.3,1,0,1,5,19,3,10,0,0.386,0.38,0.766,0.1
36,Jo AdellLAA,CF,19,77,8,23,0.299,1,0,2,8,30,1,14,1,0.333,0.39,0.723,0.2
36,Randy ArozarenaSEA,LF,19,67,16,20,0.299,4,0,1,7,27,11,13,5,0.42,0.403,0.823,0.9
38,Willson ContrerasBOS,1B,17,57,9,17,0.298,2,0,3,11,28,11,19,0,0.444,0.491,0.936,1
39,Brendan DonovanSEA,2B,16,51,6,15,0.294,3,0,3,8,27,8,12,1,0.431,0.529,0.96,0.7
40,Matt OlsonATL,1B,19,75,15,22,0.293,9,0,5,14,46,9,24,0,0.369,0.613,0.982,1.1
41,Ramon LaureanoSD,RF,17,65,12,19,0.292,4,1,4,12,37,5,15,3,0.352,0.569,0.921,0.8
42,Brandon MarshPHI,CF,17,62,8,18,0.29,4,0,2,11,28,3,15,2,0.318,0.452,0.77,0.4
43,Jose AltuveHOU,LF,18,66,13,19,0.288,5,0,2,6,30,13,14,1,0.405,0.455,0.86,0.4
43,Bryan ReynoldsPIT,RF,18,66,14,19,0.288,1,1,3,12,31,12,20,1,0.4,0.47,0.87,0.7
43,Max MuncyATH,3B,18,66,13,19,0.288,5,1,2,5,32,3,27,2,0.338,0.485,0.823,0.1
43,Cam SmithHOU,RF,19,66,12,19,0.288,5,0,3,10,33,8,17,3,0.368,0.5,0.868,0.4
43,Ozzie AlbiesATL,2B,19,73,13,21,0.288,1,0,4,8,34,5,13,0,0.338,0.466,0.803,0.7
48,Will SmithLAD,C,17,56,8,16,0.286,1,0,2,8,23,8,10,0,0.375,0.411,0.786,0.4
48,Ernie ClementTOR,3B,17,70,6,20,0.286,5,0,0,5,25,1,4,1,0.296,0.357,0.653,0.1
50,Xander BogaertsSD,SS,17,67,5,19,0.284,2,0,3,13,30,6,6,2,0.342,0.448,0.79,0.4
51,TJ RumfieldCOL,1B,18,60,6,17,0.283,1,1,2,8,26,6,13,0,0.343,0.433,0.777,0.2
51,Justin CrawfordPHI,CF,17,53,7,15,0.283,4,1,0,1,21,4,13,1,0.345,0.396,0.741,-0.3
51,Justin CrawfordPHI,CF,17,53,7,15,0.283,4,1,0,1,21,4,13,1,0.345,0.396,0.741,-0.3
55,Alec BurlesonSTL,1B,18,68,7,19,0.279,3,0,2,14,28,11,8,1,0.375,0.412,0.787,0.5
55,Carlos CorreaHOU,SS,16,61,14,17,0.279,3,0,1,9,23,8,9,1,0.362,0.377,0.739,0.7
57,Jeff McNeilATH,2B,17,54,5,15,0.278,3,0,0,3,18,6,10,1,0.35,0.333,0.683,0.3
